,horizon,mse,rmse,mae,mape,mdape,smape,coverage
78,96 days,460.87031486509426,21.467890321712897,13.890289953456286,0.21436538430857793,0.1359780409352783,0.25362457286339907,0.5711111111111111
79,97 days,470.560967594448,21.692417283337697,13.982410496485357,0.21500843908952239,0.13595091972492152,0.25436468726811645,0.5777777777777777
80,98 days,479.3528375449352,21.894127923827778,14.061688037450054,0.2158668184103197,0.13722682450214588,0.2552149942225713,0.58
81,99 days,488.8208005302622,22.109292176147616,14.13413220843065,0.21639827192552039,0.13739782178921933,0.2558713728769391,0.5822222222222222
82,100 days,500.0490712655841,22.36177701493296,14.258713656473114,0.21759939702030953,0.1379480458387769,0.257164110952964,0.58
83,101 days,513.3140528073418,22.656435130164272,14.390755573703402,0.218717758802037,0.13799192677199065,0.2583364228732527,0.58
84,102 days,526.193216487176,22.938901815195425,14.501850776791752,0.21954478795355045,0.13739782178921933,0.25919337228163686,0.5777777777777777
85,103 days,538.1631147973185,23.198342932143202,14.645584537480609,0.22068865252994482,0.13739782178921933,0.2603812817670159,0.5711111111111111
86,104 days,551.4121681105712,23.482167023308797,14.82005081300003,0.2224402454323428,0.1396978585865567,0.2620999521048141,0.5688888888888889
87,105 days,564.2649951642795,23.754262673555658,14.983161308960637,0.22405858827449515,0.14072813090643774,0.2637238751637549,0.5666666666666667
88,106 days,576.9683184503237,24.0201648297909,15.149364675890336,0.22566615778999502,0.14072813090643774,0.2653020367638036,0.5644444444444444
89,107 days,587.9964706471956,24.248638531826803,15.28776494553935,0.22696424493770184,0.14212779376998616,0.26651674070960946,0.56
90,108 days,601.2843092515169,24.52109926678486,15.448717664171978,0.2285443750690776,0.1451649164925103,0.2680218657402654,0.5555555555555556
91,109 days,613.6011835063006,24.770974617610438,15.58373231928662,0.22976789928455213,0.14608347383485876,0.2692655787449567,0.5511111111111111
92,110 days,625.1886155919215,25.003772027274636,15.727867885493456,0.2313277104027321,0.14619561177292512,0.27067954048537873,0.5466666666666666
93,111 days,636.7861588259516,25.23462222475208,15.866967128357906,0.2327529769502147,0.14625158950561776,0.27188008472358705,0.5422222222222223
94,112 days,647.1628770333406,25.439396160941804,16.017573471664544,0.23453438306468563,0.14683411120177198,0.27343395501689477,0.5355555555555556
95,113 days,657.8073406463457,25.647755080052242,16.18767862845285,0.23675279147457973,0.15069895217651275,0.2754372107474545,0.5288888888888889
96,114 days,669.482286980901,25.874355779050827,16.367384138387923,0.23892504310107934,0.153075296460778,0.2773491947920556,0.52
97,115 days,679.6669091568326,26.070422113131052,16.50658779845441,0.24064881614189954,0.15221094534881865,0.27875632749607665,0.5133333333333333
98,116 days,690.151393579692,26.27073264261376,16.679258268256458,0.24246737802990492,0.15135822450728054,0.2804229133401364,0.5066666666666667
99,117 days,698.936899083357,26.437414757940253,16.837023471313405,0.24459822434919082,0.15376331590825434,0.2822371545439801,0.49777777777777776
100,118 days,707.8497407546682,26.605445697350536,16.981522383678392,0.2466766756623289,0.15588647109102136,0.28388495374599393,0.4888888888888889
101,119 days,716.5452499434703,26.768362855121907,17.15381227604755,0.24916895032454342,0.15603995545066723,0.28601179365544127,0.4822222222222222
102,120 days,724.433453503706,26.915301475252065,17.329745481582368,0.25154253025619977,0.1573898360090249,0.28812280778159,0.47555555555555556
103,121 days,733.4651125163474,27.08256104057272,17.49719727791612,0.2538487803790109,0.1590595050672359,0.29014153574647017,0.4688888888888889
